,source,target,weight
694,1463,1742,6
695,1463,32,10
696,1463,1182,5
697,1463,203,5
698,1463,1145,1
699,1463,1761,7
700,1523,1162,2
701,1523,1742,2
702,1839,1178,1
703,1411,1162,2
704,1411,1742,2
705,346,822,3
706,1601,1072,1
707,1601,208,1
708,1601,849,1
709,1601,190,1
710,1601,63,1
711,1601,780,1
712,1175,1546,1
713,725,1742,1
714,725,1581,1
715,448,1546,1
716,1343,918,3
717,1343,544,1
718,1343,862,4
719,1343,1057,39
720,1343,1713,4
721,1343,584,2
722,1343,32,1
723,313,1057,18
724,313,1838,1
725,313,1742,2
726,1176,822,2
727,1176,1744,1
728,1176,1191,3
729,1870,1742,1
730,1693,1122,1
731,1693,1090,1
732,1693,1742,1
733,1597,1742,1
734,1062,674,3
735,1062,975,3
736,1062,1433,3
737,1062,1191,3
738,1062,1289,3
739,1062,1742,3
740,1062,660,3
741,951,1380,1
742,951,467,1
743,951,1742,2
744,23,1064,1
745,23,918,1
746,23,246,1
747,23,1463,5
748,23,1162,9
749,23,544,2
750,23,1057,9
751,23,1861,5
752,23,1766,13
753,23,774,1
754,23,32,1
755,1242,475,2
756,1242,1581,2
757,1659,1581,1
758,513,1581,1
759,316,419,1
760,686,1581,20
761,284,1581,1
762,1267,1191,1
763,1372,419,3
764,441,885,1
765,441,1,1
766,441,1805,1
767,441,365,1
768,1072,231,4
769,1072,95,1
770,1072,1413,3
771,1072,332,13
772,1072,1027,1
773,1072,1881,1
774,1072,1641,7
775,1072,379,1
776,1072,289,1
777,1072,1020,1
778,1072,1458,1
779,1072,1652,1
780,1072,1481,2
781,1072,716,1
782,1072,1407,5
783,1072,587,3
784,1072,1538,1
785,1072,1621,18
786,1072,1097,1
787,1072,819,1
788,1072,1891,3
789,1072,1111,2
790,1072,370,2
791,1072,1441,2
792,1072,139,1
793,1072,1292,1
794,1072,257,3
795,1072,1166,1
796,1072,965,1
797,1072,1552,3
798,1072,528,1
799,1072,530,1
800,1072,1162,1
801,1072,342,4
802,1072,1178,2
803,1072,912,2
804,1072,822,15
805,1072,1537,1
806,1072,304,7
807,1072,1240,2
808,1072,1469,2
809,1072,146,3
810,1072,344,1
811,1072,1154,1
812,1072,1513,1
813,1072,1282,1
814,1072,434,1
815,1072,1834,1
816,1072,1426,3
817,1072,1433,1
818,1072,1748,3
819,1072,1300,1
820,1072,930,1
821,1072,17,1
822,1072,1037,1
823,1072,163,1
824,1072,123,1
825,1072,1546,23
826,1072,1106,2
827,1072,961,1
828,1072,1495,2
829,1072,425,1
830,1072,1533,1
831,1072,1237,2
832,1072,271,1
833,1072,1090,1
834,1072,1460,1
835,1072,196,5
836,1072,1795,1
837,1072,1803,1
838,1072,1566,4
839,1072,1553,1
840,1072,1483,1
841,1072,13,1
842,1072,1034,2
843,1072,1491,1
844,1072,1468,2
845,1072,258,3
846,1072,429,1
847,1072,1369,8
848,1072,1842,1
849,1072,649,12
850,1072,1820,2
851,1072,865,1
852,1072,858,1
853,1072,1777,1
854,1072,829,3
855,1072,1103,4
856,1072,956,2
857,1072,940,1
858,1072,638,16
859,1072,187,1
860,1072,873,1
861,1072,454,2
862,1072,1510,5
863,1072,167,1
864,1072,1500,2
865,1072,1701,2
866,1072,761,1
867,1072,68,1
868,1072,419,1
869,1072,1041,1
870,1072,1191,7
871,1072,769,1
872,1072,1277,1
873,1072,1850,4
874,1072,799,30
875,1072,1683,8
876,1072,314,1
877,1072,1819,1
878,1072,571,1
879,1072,893,1
880,1072,91,1
881,1072,166,4
882,1072,1171,2
883,1072,1689,2
884,1072,703,4
885,1072,1721,3
886,1072,910,3
887,1072,944,1
888,1072,1890,9
889,1072,1333,2
890,1072,470,1
891,1072,1126,1
892,1072,598,1
893,1072,1527,1
894,1072,987,1
895,1072,941,2
896,1072,1643,1
897,1072,861,2
898,1072,1657,1
899,1072,992,1
900,1072,1742,1
901,1072,54,2
902,1072,1181,22
903,1072,1651,3
904,1072,848,1
905,1072,1260,1
906,1072,660,7
907,1072,1832,1
908,1072,396,2
909,1072,577,3
910,1072,614,1
911,1072,1298,1
912,1072,775,1
913,1072,1785,2
914,1072,453,2
915,1072,1078,1
916,1072,1614,1
917,1072,743,2
918,1072,1185,2
919,1072,1226,1
920,1072,1749,6
921,1072,957,1
922,1072,1773,1
923,1113,1742,2
924,257,92,1
925,257,356,1
926,257,1635,1
927,257,975,2
928,257,825,4
929,257,1707,3
930,257,827,1
931,257,1546,10
932,257,227,7
933,257,153,1
934,257,384,1
935,257,1483,2
936,257,446,1
937,257,649,3
938,257,1720,1
939,257,436,1
940,257,31,1
941,257,1510,10
942,257,1089,1
943,257,1500,2
944,257,1121,1
945,257,419,12
946,257,136,1
947,257,799,1
948,257,1218,2
949,257,744,1
950,257,519,1
951,257,660,1
952,257,409,3
